"decil","ingreso"
"1",17380958.9076944
"2",22296852.1070421
"3",27187666.3529803
"4",31416974.3054943
"5",36880258.1687317
"6",61069045.8808546
"7",40258842.0099619
"8",144087718.421803
"9",237226217.435
"10",422463726.344167
