Apellido Paterno,Apellido Materno,Nombre,Nivel,Institución de Adscripción,Área del Conocimiento
AGUILAR,GARCIA,FRANCISCO JAVIER,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUILAR,MARTINEZ,ADRIAN GUILLERMO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUILAR,IBARRA,ALONSO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUILAR,ORTEGA,TEODORO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUILAR,CHIU,LUIS ALBERTO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUILAR,AREVALO,ALEXIS ARMANDO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUILAR,REYES,BERTHA OLIVA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUILAR,RODRIGUEZ,ERNESTO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUILAR,RIVERO,MARIFLOR,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUILAR,NERY,JESUS,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUILAR,GUEVARA,ANA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUILAR,GUEVARA,FRANCISCO JAVIER,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUILAR,MENDOZA,GUILLERMO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
AGUILAR,MARTINEZ,WENDY ELIZABETH,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
AGUILAR,AYALA,YANERI,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: MEDICINA Y CIENCIAS DE LA SALUD
AGUILAR ALVAREZ,BAY,TATIANA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUILERA,HINTELHOLHER,RINA MARISSA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUILUZ,IBARGUEN,MAYA VICTORIA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUIÑIGA,SANCHEZ,ITZEN,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
AGUIRRE,LINARES,JESUS,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
AGUIRRE,DUGUA,XITLALI,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
AGUIRRE,HERNANDEZ,EVA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
AGUIRRE,ROJAS,CARLOS ANTONIO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUIRRE,GOMEZ,RAUL,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
AGUIRRE,HERNANDEZ,REBECA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUIRRE,OLIVAS,DILIA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUIRRE,AGUIRRE,DANIEL,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUIRRE,DIAZ,GERARDO DE JESUS,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
AGUIRRE,LORA,GEORGINA MARIA ESTHER,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUIRRE,SALVADOR,RODOLFO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUIRRE,sin apellido Materno,MARIANA GEORGINA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
AGUIRRE,GARCIA,MARIA MAGDALENA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: MEDICINA Y CIENCIAS DE LA SALUD
AGUNDIS,MATA,MARIA CONCEPCION,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: MEDICINA Y CIENCIAS DE LA SALUD
ALAGON,CANO,ALEJANDRO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
ALANIZ,ALVAREZ,SUSANA ALICIA,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALARCON,ORTEGA,LUCY CORAL,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALATRISTE,CONTRERAS,MARTHA GABRIELA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
ALBA,HURTADO,FERNANDO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
ALBA,ANDRADE,FERNANDO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALBA,LEONEL,ADELA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: MEDICINA Y CIENCIAS DE LA SALUD
ALBARRAN,SANCHEZ,MARIA GUADALUPE,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALBORES,VELASCO,MARTHA EUGENIA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALCALA,ARISTIGUIETA,ANA CAROLINA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALCALA,CANTO,YAZMIN,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
ALCALA,REYGOSA,JESUS,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
ALCALA,MENDIZABAL,DIANA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALCALA,HERRERA,VERONICA MARIA DEL CONSUE,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALCALA,CAMPOS,RAUL,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALCANTAR,VAZQUEZ,BRENDA CECILIA,C,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALCANTAR,CURIEL,MARIA DOLORES,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área III: MEDICINA Y CIENCIAS DE LA SALUD
ALCANTARA,HERNANDEZ,ROCIO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALCANTARA,HERNANDEZ,ROCIO JETZABEL,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALCANTARA,AYALA,IRASEMA,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
ALCANTARA,SANTUARIO,ARMANDO,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALCARAZ,ZUBELDIA,GUILLERMINA,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
